Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-29.23137254901961,-30.517647058823528,-29.9816993464052,-29.9816993464052
10.0,-29.23137254901961,-30.517647058823528,-29.9816993464052,-29.9816993464052
20.0,-29.23137254901961,-30.517647058823528,-29.8745098039216,-29.9816993464052
30.0,-29.23137254901961,-30.517647058823528,-29.8745098039216,-29.9816993464052
40.0,-29.23137254901961,-30.517647058823528,-29.8745098039216,-29.9816993464052
49.0,-29.23137254901961,-30.517647058823528,-29.9816993464052,-30.0888888888889
60.0,-29.23137254901961,-30.517647058823528,-29.7673202614379,-30.1960784313725
69.0,-29.23137254901961,-30.839215686274507,-29.6601307189542,-30.4104575163399
80.0,-29.23137254901961,-31.482352941176472,-29.3385620915033,-30.8392156862745
88.0,-29.23137254901961,-32.12549019607843,-28.802614379085,-31.4823529411765
99.0,-29.23137254901961,-32.44705882352941,-28.3738562091503,-31.9111111111111
109.0,-29.23137254901961,-32.76862745098039,-27.837908496732,-32.4470588235294
119.0,-29.23137254901961,-33.090196078431376,-27.7307189542483,-32.6614379084967
128.0,-29.23137254901961,-33.411764705882355,-27.3019607843137,-32.6614379084967
139.0,-28.588235294117645,-33.411764705882355,-26.8732026143791,-33.0901960784314
150.0,-27.301960784313728,-34.05490196078431,-26.7660130718954,-33.4117647058823
157.0,-26.337254901960783,-34.05490196078431,-26.3372549019608,-33.6261437908497
167.0,-25.694117647058825,-34.37647058823529,-25.9084967320261,-33.9477124183007
176.0,-25.050980392156866,-34.69803921568627,-25.6941176470588,-34.162091503268
186.0,-24.72941176470588,-35.01960784313726,-25.4797385620915,-34.3764705882353
197.0,-24.4078431372549,-35.34117647058824,-25.1581699346405,-34.5908496732026
207.0,-24.4078431372549,-35.66274509803922,-24.8366013071895,-35.0196078431373
217.0,-24.08627450980392,-35.984313725490196,-24.5150326797385,-35.4483660130719
227.0,-24.08627450980392,-36.305882352941175,-24.3006535947712,-35.9843137254902
236.0,-23.443137254901963,-36.305882352941175,-23.9790849673203,-36.3058823529412
246.0,-23.443137254901963,-36.627450980392155,-23.6575163398693,-36.6274509803921
256.0,-23.121568627450984,-36.949019607843134,-23.443137254902,-36.8418300653595
266.0,-22.799999999999997,-37.27058823529412,-23.121568627451,-37.1633986928105
275.0,-22.478431372549018,-37.5921568627451,-22.9071895424836,-37.2705882352941
284.0,-22.15686274509804,-37.91372549019608,-22.5856209150327,-37.4849673202614
294.0,-21.83529411764706,-38.23529411764706,-22.2640522875817,-37.6993464052288
303.0,-21.51372549019608,-38.23529411764706,-21.9424836601307,-38.0209150326797
314.0,-21.192156862745097,-38.55686274509804,-21.4065359477124,-38.2352941176471
324.0,-20.870588235294118,-39.2,-21.2993464052287,-38.556862745098
334.0,-20.54901960784314,-39.2,-20.9777777777778,-39.0928104575163
344.0,-20.54901960784314,-39.52156862745098,-20.6562091503268,-39.4143790849673
354.0,-19.905882352941177,-39.84313725490196,-20.2274509803922,-39.9503267973856
363.0,-19.584313725490198,-40.16470588235294,-20.0130718954248,-39.9503267973856
373.0,-19.584313725490198,-40.48627450980392,-19.6915032679738,-40.2718954248366
383.0,-19.262745098039215,-40.8078431372549,-19.3699346405229,-40.5934640522876
393.0,-18.941176470588236,-40.8078431372549,-19.0483660130719,-40.7006535947712
402.0,-18.619607843137256,-41.450980392156865,-18.8339869281046,-40.9150326797386
412.0,-18.298039215686273,-41.450980392156865,-18.6196078431373,-41.1294117647059
422.0,-17.976470588235294,-41.772549019607844,-18.2980392156863,-41.5581699346405
432.0,-17.654901960784315,-42.4156862745098,-17.9764705882353,-41.8797385620915
441.0,-17.333333333333332,-42.4156862745098,-17.762091503268,-42.2013071895425
451.0,-17.011764705882353,-42.73725490196078,-17.440522875817,-42.6300653594771
461.0,-16.690196078431374,-42.73725490196078,-17.118954248366,-42.9516339869281
471.0,-16.36862745098039,-43.38039215686275,-16.797385620915,-43.0588235294117
480.0,-16.04705882352941,-43.70196078431373,-16.475816993464,-43.4875816993464
490.0,-16.04705882352941,-44.023529411764706,-16.1542483660131,-43.8091503267974
500.0,-15.40392156862745,-44.023529411764706,-15.9398692810458,-44.1307189542484
510.0,-15.40392156862745,-44.666666666666664,-15.6183006535948,-44.3450980392157
520.0,-15.08235294117647,-44.98823529411764,-15.2967320261438,-44.559477124183
530.0,-14.760784313725491,-44.98823529411764,-14.8679738562092,-44.881045751634
539.0,-14.439215686274508,-45.30980392156863,-14.5464052287582,-45.0954248366013
549.0,-14.439215686274508,-45.63137254901961,-14.3320261437909,-45.4169934640523
559.0,-13.79607843137255,-45.95294117647059,-14.1176470588235,-45.8457516339869
568.0,-13.474509803921567,-46.27450980392157,-13.9032679738562,-46.1673202614379
578.0,-13.152941176470588,-46.59607843137255,-13.4745098039216,-46.2745098039216
588.0,-12.831372549019608,-46.59607843137255,-13.1529411764706,-46.7032679738562
597.0,-12.831372549019608,-47.23921568627451,-12.9385620915033,-46.8104575163398
607.0,-12.50980392156863,-47.23921568627451,-12.6169934640523,-47.3464052287582
617.0,-11.866666666666667,-47.56078431372549,-12.2954248366013,-47.4535947712418
627.0,-11.545098039215688,-47.88235294117647,-11.9738562091503,-47.7751633986928
637.0,-11.545098039215688,-48.20392156862745,-11.6522875816993,-48.3111111111111
646.0,-11.223529411764705,-48.52549019607843,-11.3307189542484,-48.5254901960784
657.0,-10.901960784313726,-48.84705882352941,-11.0091503267974,-48.7398692810457
667.0,-10.580392156862747,-49.168627450980395,-10.6875816993464,-48.9542483660131
677.0,-10.258823529411764,-49.490196078431374,-10.4732026143791,-49.1686274509804
687.0,-9.937254901960785,-49.811764705882354,-10.1516339869281,-49.5973856209151
697.0,-9.615686274509805,-49.811764705882354,-9.83006535947713,-50.0261437908497
706.0,-9.294117647058822,-50.13333333333333,-9.50849673202614,-50.240522875817
716.0,-9.294117647058822,-50.45490196078431,-9.29411764705882,-50.4549019607843
726.0,-8.650980392156864,-50.77647058823529,-8.97254901960785,-50.6692810457516
735.0,-8.329411764705881,-51.09803921568628,-8.75816993464053,-51.0980392156863
746.0,-8.329411764705881,-51.41960784313726,-8.32941176470588,-51.3124183006536
755.0,-8.007843137254902,-51.741176470588236,-8.0078431372549,-51.5267973856209
765.0,-7.686274509803923,-51.741176470588236,-7.79346405228758,-51.9555555555555
774.0,-7.36470588235294,-52.384313725490195,-7.36470588235294,-52.1699346405229
783.0,-7.043137254901961,-52.705882352941174,-7.15032679738562,-52.4915032679739
793.0,-6.721568627450981,-52.705882352941174,-6.82875816993464,-52.7058823529412
801.0,-6.399999999999999,-53.02745098039216,-6.61437908496732,-53.2418300653595
811.0,-6.078431372549019,-53.34901960784314,-6.4,-53.5633986928104
821.0,-5.75686274509804,-53.67058823529412,-5.97124183006536,-53.6705882352941
831.0,-5.435294117647059,-53.9921568627451,-5.75686274509804,-53.9921568627451
841.0,-5.435294117647059,-54.31372549019608,-5.3281045751634,-54.3137254901961
852.0,-5.113725490196078,-54.635294117647064,-5.11372549019608,-54.6352941176471
861.0,-4.470588235294118,-54.635294117647064,-4.7921568627451,-54.7424836601307
872.0,-4.470588235294118,-54.956862745098036,-4.36339869281046,-55.0640522875817
881.0,-4.149019607843137,-55.599999999999994,-4.04183006535948,-55.4928104575163
891.0,-3.8274509803921575,-55.599999999999994,-3.82745098039216,-55.7071895424837
901.0,-3.5058823529411764,-55.92156862745098,-3.50588235294118,-56.0287581699347
911.0,-3.1843137254901954,-56.24313725490197,-3.29150326797386,-56.4575163398693
921.0,-2.862745098039216,-56.24313725490197,-2.86274509803922,-56.5647058823529
931.0,-2.541176470588235,-56.56470588235294,-2.6483660130719,-56.8862745098039
940.0,-2.219607843137254,-56.886274509803926,-2.32679738562092,-57.1006535947712
951.0,-2.219607843137254,-57.2078431372549,-2.11241830065359,-57.6366013071896
959.0,-1.8980392156862749,-57.2078431372549,-1.79084967320261,-57.7437908496732
969.0,-1.2549019607843146,-57.529411764705884,-1.46928104575163,-58.0653594771242
979.0,-0.9333333333333336,-57.850980392156856,-1.04052287581699,-58.3869281045751
989.0,-0.9333333333333336,-58.17254901960784,-1.04052287581699,-58.3869281045751
999.0,-0.9333333333333336,-58.17254901960784,-1.14771241830065,-58.3869281045751
1009.0,-0.9333333333333336,-58.17254901960784,-1.14771241830065,-58.3869281045751
