Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-0.29411764705882426,-0.41176470588235325,-0.647058823529412,2.80392156862745
9.0,-0.41176470588235325,-0.41176470588235325,-0.647058823529412,2.84313725490196
19.0,-0.41176470588235325,-0.41176470588235325,-0.686274509803922,2.72549019607843
29.0,-0.41176470588235325,-0.0588235294117645,-0.647058823529412,2.25490196078431
38.0,-0.41176470588235325,-1.0,-0.568627450980393,1.74509803921569
48.0,-0.41176470588235325,-1.7058823529411757,-0.647058823529412,0.294117647058825
61.0,-0.41176470588235325,-2.0588235294117645,-0.686274509803922,-0.254901961
70.0,-1.9411764705882355,-2.4117647058823533,-0.568627450980392,-0.80392156862745
78.0,-2.882352941176471,-3.235294117647058,-1.58823529411765,-0.764705882352941
89.0,-3.235294117647058,-3.235294117647058,-3.86274509803922,-2.41176470588235
99.0,-3.235294117647058,-3.9411764705882355,-5.66666666666667,-2.80392156862745
109.0,-3.235294117647058,-4.882352941176471,-6.13725490196079,-3.58823529411765
118.0,-3.5882352941176485,-4.882352941176471,-6.09803921568628,-4.05882352941177
128.0,-4.882352941176471,-5.352941176470589,-6.13725490196079,-4.56862745098039
137.0,-5.0,-6.411764705882353,-6.1764705882353,-5.19607843137255
147.0,-5.0,-6.411764705882353,-6.52941176470588,-5.58823529411765
156.0,-5.8235294117647065,-6.411764705882353,-7.15686274509804,-6.45098039215686
166.0,-5.8235294117647065,-7.235294117647059,-7.27450980392157,-7.15686274509804
176.0,-5.8235294117647065,-7.9411764705882355,-7.58823529411765,-7.90196078431373
186.0,-6.4117647058823515,-8.294117647058822,-7.82352941176471,-8.21568627450981
196.0,-7.235294117647058,-8.764705882352942,-8.25490196078431,-9.19607843137255
206.0,-7.470588235294116,-9.0,-8.41176470588235,-9.31372549019608
215.0,-7.470588235294116,-9.0,-8.76470588235294,-9.27450980392157
225.0,-7.470588235294116,-8.882352941176471,-8.6078431372549,-9.23529411764706
235.0,-7.470588235294116,-8.882352941176471,-8.64705882352941,-9.27450980392157
244.0,-7.470588235294116,-8.647058823529413,-8.6078431372549,-6.96078431372549
254.0,-7.470588235294116,-8.176470588235293,-8.64705882352941,-6.37254901960784
264.0,-7.470588235294116,-8.058823529411764,-8.80392156862745,-6.25490196078431
274.0,-7.470588235294116,-8.058823529411764,-9.23529411764706,-6.05882352941176
283.0,-7.9411764705882355,-5.705882352941176,-9.50980392156863,-5.90196078431372
293.0,-8.294117647058822,-2.882352941176471,-9.58823529411765,-4.96078431372549
304.0,-8.882352941176471,-2.4117647058823533,-9.62745098039216,-4.17647058823529
314.0,-9.470588235294116,-2.4117647058823533,-10.4117647058823,-3.94117647058823
323.0,-9.588235294117649,-2.764705882352942,-10.4901960784314,-3.70588235294118
333.0,-9.941176470588236,-2.882352941176471,-11.1176470588235,-3.11764705882353
343.0,-10.058823529411764,-3.0,-11.2352941176471,-3.27450980392157
353.0,-10.411764705882351,-3.0,-11.5098039215686,-2.6078431372549
362.0,-10.764705882352942,-3.0,-11.5882352941177,-1.86274509803921
371.0,-10.764705882352942,-2.764705882352942,-11.7058823529412,-1.43137254901961
381.0,-11.705882352941178,-2.6470588235294112,-12.1372549019608,-1.35294117647059
391.0,-11.941176470588236,-2.5294117647058822,-12.6078431372549,-1.35294117647059
402.0,-12.058823529411764,-1.0,-12.6078431372549,-1.11764705882353
411.0,-12.176470588235293,-0.41176470588235325,-12.6470588235294,-1.07843137254902
