Time(ms),MCB1,MCB2,DATA1,DATA2
0.0,-30.19607843137255,-29.23137254901961,-30.1960784313725,-29.5529411764706
10.0,-29.87450980392157,-29.23137254901961,-30.0888888888889,-29.5529411764706
19.0,-29.87450980392157,-29.23137254901961,-29.6601307189542,-29.3385620915032
29.0,-29.87450980392157,-29.23137254901961,-29.1241830065359,-28.6954248366013
39.0,-29.87450980392157,-28.266666666666666,-28.2666666666667,-27.837908496732
49.0,-29.87450980392157,-27.301960784313728,-27.4091503267974,-26.5516339869281
62.0,-30.19607843137255,-26.337254901960783,-26.3372549019608,-25.3725490196079
70.0,-28.909803921568624,-25.372549019607845,-25.1581699346405,-24.0862745098039
81.0,-26.658823529411762,-24.4078431372549,-24.1934640522876,-23.121568627451
89.0,-24.72941176470588,-23.443137254901963,-23.443137254902,-22.1568627450981
100.0,-23.443137254901963,-22.478431372549018,-21.9424836601307,-21.0849673202614
109.0,-22.15686274509804,-24.08627450980392,-21.0849673202615,-20.0130718954248
118.0,-20.870588235294118,-20.227450980392156,-20.0130718954248,-19.0483660130719
128.0,-19.905882352941177,-19.584313725490198,-18.9411764705882,-18.0836601307189
139.0,-18.941176470588236,-18.298039215686273,-17.9764705882353,-17.440522875817
148.0,-18.298039215686273,-17.333333333333332,-16.9045751633987,-16.0470588235294
157.0,-17.011764705882353,-16.36862745098039,-15.9398692810458,-15.0823529411765
168.0,-16.04705882352941,-15.725490196078432,-14.8679738562092,-14.1176470588236
176.0,-15.08235294117647,-14.760784313725491,-13.9032679738562,-13.1529411764706
185.0,-14.439215686274508,-13.474509803921567,-12.9385620915033,-12.1882352941176
196.0,-13.152941176470588,-12.50980392156863,-11.759477124183,-11.2235294117647
205.0,-12.188235294117646,-11.545098039215688,-10.79477124183,-10.1516339869281
216.0,-11.223529411764705,-10.580392156862747,-9.72287581699348,-9.18692810457516
225.0,-9.937254901960785,-9.615686274509805,-8.65098039215686,-8.11503267973856
235.0,-8.972549019607843,-8.650980392156864,-7.57908496732026,-7.25751633986928
245.0,-8.007843137254902,-7.686274509803923,-6.72156862745098,-6.18562091503268
255.0,-7.043137254901961,-8.007843137254902,-5.64967320261438,-5.22091503267974
264.0,-6.399999999999999,-6.078431372549019,-4.7921568627451,-4.14901960784314
274.0,-5.435294117647059,-4.792156862745099,-3.7202614379085,-3.29150326797386
284.0,-4.470588235294118,-3.8274509803921575,-2.75555555555556,-2.43398692810458
294.0,-3.1843137254901954,-2.541176470588235,-2.00522875816993,-1.57647058823529
303.0,-2.219607843137254,-1.5764705882352938,-2.00522875816993,-1.46928104575163
313.0,-1.8980392156862749,-1.2549019607843146,-2.00522875816993,-1.46928104575163
323.0,-1.8980392156862749,-1.2549019607843146,-1.89803921568627,-1.57647058823529
333.0,-1.8980392156862749,-1.2549019607843146,-2.00522875816993,-2.1124183006536
343.0,-1.8980392156862749,-1.2549019607843146,-2.6483660130719,-2.96993464052288
353.0,-1.8980392156862749,-1.2549019607843146,-3.61307189542484,-3.82745098039216
362.0,-1.8980392156862749,-1.8980392156862749,-4.57777777777778,-4.68496732026144
372.0,-2.541176470588235,-3.5058823529411764,-5.54248366013072,-5.43529411764706
382.0,-3.8274509803921575,-4.470588235294118,-6.18562091503268,-6.07843137254902
391.0,-5.435294117647059,-5.75686274509804,-6.72156862745098,-6.61437908496732
401.0,-6.399999999999999,-6.078431372549019,-7.36470588235294,-7.25751633986928
412.0,-7.043137254901961,-6.721568627450981,-7.79346405228758,-7.79346405228758
422.0,-7.686274509803923,-7.36470588235294,-8.32941176470588,-8.22222222222222
431.0,-8.329411764705881,-7.686274509803923,-8.97254901960784,-8.86535947712418
440.0,-8.650980392156864,-8.329411764705881,-9.40130718954248,-9.50849673202615
